Date,Open,High,Low,Close,Adj Close,Volume
2003-05-01,28.100000,32.570000,27.350000,32.490002,20.599157,250999800
2003-06-01,32.750000,34.720001,31.580000,33.119999,20.998581,182886200
2003-07-01,33.119999,34.700001,30.559999,31.200001,19.817816,197934200
2003-08-01,31.250000,34.230000,30.100000,32.160000,20.427582,200772100
2003-09-01,31.930000,34.250000,31.110001,31.850000,20.230686,215459500
2003-10-01,32.119999,37.840000,32.060001,37.070000,23.597702,173351900
2003-11-01,37.430000,37.889999,34.830002,36.759998,23.400377,129531900
2003-12-01,36.880001,36.980000,31.930000,35.490002,22.591927,193037700
2004-01-01,35.750000,36.400002,34.700001,35.470001,22.622263,183718600
2004-02-01,35.470001,37.080002,35.009998,36.310001,23.157999,144953600
2004-03-01,36.580002,37.650002,35.119999,37.360001,23.827684,158885900
2004-04-01,37.299999,37.840000,35.189999,35.189999,22.485973,133451400
2004-05-01,35.250000,36.299999,32.340000,35.919998,22.952436,170501900
2004-06-01,35.770000,36.130001,34.750000,35.200001,22.492359,171113400
2004-07-01,35.209999,35.349998,32.570000,33.720001,21.597878,129195800
2004-08-01,33.720001,36.869999,32.389999,36.560001,23.416927,144180100
2004-09-01,36.549999,39.730000,36.360001,39.200001,25.166422,140363500
2004-10-01,39.590000,41.500000,38.310001,41.080002,26.373379,130066700
2004-11-01,41.020000,44.299999,40.799999,41.750000,26.803514,156743400
2004-12-01,41.950001,43.090000,41.490002,42.740002,27.493422,122581700
2005-01-01,42.990002,43.270000,40.279999,41.259998,26.541359,125399300
2005-02-01,41.200001,42.990002,38.880001,40.020000,25.743710,134241800
2005-03-01,40.049999,40.270000,37.439999,38.240002,24.598684,171584800
2005-04-01,38.400002,38.750000,34.560001,35.369999,22.809689,175448400
2005-05-01,35.669998,40.340000,35.540001,39.349998,25.376345,165217800
2005-06-01,39.200001,40.930000,38.150002,38.900002,25.086155,140214700
2005-07-01,39.180000,43.980000,38.610001,43.509998,28.129503,148971100
2005-08-01,43.209999,43.389999,39.139999,40.320000,26.067144,188347600
2005-09-01,40.700001,42.040001,37.139999,38.139999,24.718737,201857000
2005-10-01,38.150002,41.470001,37.480000,41.040001,26.598234,212047300
2005-11-01,41.000000,43.270000,40.349998,41.779999,27.077824,188661700
2005-12-01,41.840000,42.790001,40.419998,40.480000,26.298445,123216400
2006-01-01,40.389999,43.200001,39.650002,40.549999,26.343914,190368300
2006-02-01,40.450001,43.000000,38.500000,42.150002,27.383396,169723200
2006-03-01,42.150002,43.950001,40.279999,42.299999,27.480822,192419800
2006-04-01,42.380001,42.930000,39.500000,39.930000,26.034554,142636300
2006-05-01,40.150002,41.610001,37.299999,38.119999,24.854420,264997600
2006-06-01,37.950001,38.799999,35.630001,35.790001,23.335253,297879600
2006-07-01,35.860001,35.980000,32.849998,34.709999,22.722075,294513800
2006-08-01,34.500000,35.220001,33.070000,34.290001,22.447121,284655800
2006-09-01,34.299999,37.650002,33.750000,36.270000,23.743286,245905100
2006-10-01,36.180000,38.240002,35.549999,37.330002,24.543467,268215200
2006-11-01,37.500000,38.849998,35.770000,37.970001,24.964256,355710000
2006-12-01,39.099998,40.369999,38.180000,40.160000,26.563126,323271600
2007-01-01,41.299999,41.840000,39.060001,40.740002,26.946737,316367900
2007-02-01,40.770000,42.009998,39.290001,39.590000,26.186096,258092400
2007-03-01,39.169998,39.650002,36.349998,36.740002,24.301018,326396300
2007-04-01,36.669998,39.689999,36.599998,37.869999,25.195038,250809800
2007-05-01,38.150002,39.619999,37.900002,38.869999,25.860338,276299900
2007-06-01,39.099998,41.189999,37.349998,39.349998,26.179678,370787500
2007-07-01,39.549999,41.009998,36.720001,37.169998,24.869911,417546100
2007-08-01,36.939999,38.540001,31.850000,38.310001,25.632673,769305600
2007-09-01,37.209999,37.369999,32.369999,32.439999,21.844578,515270200
2007-10-01,32.580002,34.549999,30.280001,31.510000,21.218323,400517900
2007-11-01,31.400000,31.580000,26.780001,28.559999,19.231852,406371300
2007-12-01,28.620001,29.799999,25.570000,26.940001,18.290661,330175300
2008-01-01,27.129999,31.080000,23.770000,30.639999,20.802755,482772200
2008-02-01,30.299999,30.690001,26.410000,26.549999,18.025879,356434400
2008-03-01,26.500000,30.000000,24.870001,27.969999,18.989975,375945900
2008-04-01,28.200001,30.160000,27.400000,28.799999,19.731073,315442200
2008-05-01,29.090000,30.500000,26.280001,27.360001,18.744526,358885800
2008-06-01,27.410000,28.129999,23.320000,23.420000,16.045204,367890700
2008-07-01,23.110001,25.850000,20.760000,23.830000,16.462473,397904400
2008-08-01,24.030001,28.750000,22.820000,27.120001,18.735310,407771000
2008-09-01,27.650000,30.740000,24.440001,25.889999,17.885592,621080800
2008-10-01,25.520000,26.090000,17.049999,23.590000,16.433008,628648800
2008-11-01,23.480000,23.790001,17.459999,23.110001,16.098646,459693800
2008-12-01,22.549999,25.190001,20.650000,23.020000,16.035950,439676400
2009-01-01,23.070000,25.490000,21.299999,21.530001,15.158801,431144100
2009-02-01,21.209999,23.850000,18.240000,20.889999,14.708192,454586800
2009-03-01,20.350000,24.360001,17.490000,23.559999,16.588079,533962800
2009-04-01,23.150000,27.070000,22.920000,26.320000,18.762917,398336600
2009-05-01,26.580000,26.770000,22.330000,23.160000,16.510229,425707400
2009-06-01,23.590000,25.120001,22.530001,23.629999,16.845274,350279000
2009-07-01,23.799999,26.190001,22.270000,25.940001,18.663004,299152600
2009-08-01,26.180000,27.940001,25.430000,27.290001,19.634285,343157900
2009-09-01,27.010000,28.440001,26.320000,26.639999,19.166622,255075500
2009-10-01,26.650000,28.020000,24.959999,25.090000,18.201525,327855200
2009-11-01,25.139999,27.950001,24.469999,27.360001,19.848286,324108800
2009-12-01,27.490000,29.440001,27.350000,28.930000,20.987249,272428900
2010-01-01,29.150000,29.240000,27.190001,28.010000,20.488321,305927400
2010-02-01,28.010000,31.450001,27.530001,31.200001,22.821690,358199600
2010-03-01,31.240000,32.980000,31.090000,32.349998,23.662876,311755400
2010-04-01,32.410000,37.029999,32.160000,35.230000,25.961203,371036400
2010-05-01,35.389999,36.299999,32.070000,33.860001,24.951647,522063700
2010-06-01,33.419998,34.169998,27.990000,28.070000,20.684956,445088000
2010-07-01,28.410000,29.370001,26.620001,28.510000,21.156656,375351500
2010-08-01,28.820000,29.240000,27.100000,27.820000,20.644613,279092800
2010-09-01,28.080000,32.230000,28.059999,31.680000,23.708941,235029100
2010-10-01,31.809999,32.139999,30.180000,30.900000,23.125202,248397600
2010-11-01,31.000000,32.820000,29.980000,30.209999,22.608810,285015300
2010-12-01,30.600000,35.490002,30.600000,35.060001,26.441826,242106100
2011-01-01,35.200001,38.119999,34.070000,36.770000,27.731493,229405900
2011-02-01,36.939999,39.380001,36.380001,37.470001,28.259424,174726800
2011-03-01,37.139999,37.860001,35.430000,37.060001,27.950201,225764900
2011-04-01,37.119999,38.509998,36.939999,37.150002,28.209352,192754700
2011-05-01,37.439999,37.939999,35.910000,36.279999,27.548731,205928600
2011-06-01,36.119999,36.310001,33.410000,36.220001,27.503174,267621000
2011-07-01,36.290001,37.250000,34.630001,34.930000,26.722992,200066500
2011-08-01,35.070000,35.070000,28.129999,33.380001,25.537174,451102200
2011-09-01,33.529999,35.330002,31.080000,32.869999,25.333336,280603400
2011-10-01,32.799999,37.650002,31.030001,35.799999,27.591516,242007200
2011-11-01,34.740002,39.790001,34.580002,39.220001,30.227352,231967000
2011-12-01,38.860001,42.470001,38.790001,42.040001,32.654648,230611500
2012-01-01,42.410000,45.500000,41.919998,44.389999,34.480003,196659700
2012-02-01,44.689999,48.070000,44.299999,47.570000,36.950092,189647500
2012-03-01,47.529999,50.419998,46.119999,50.310001,39.078392,197964600
2012-04-01,50.099998,52.389999,49.360001,51.790001,40.475674,176244800
2012-05-01,51.930000,52.880001,46.369999,49.340000,38.560898,286227600
2012-06-01,48.849998,53.279999,47.750000,52.990002,41.657864,287347600
2012-07-01,52.959999,54.279999,49.770000,52.180000,41.021088,205145900
2012-08-01,52.310001,57.180000,51.209999,56.750000,44.613773,188405400
2012-09-01,56.790001,60.580002,56.369999,60.369999,47.703735,144599900
2012-10-01,60.770000,63.200001,58.750000,61.380001,48.501835,197653000
2012-11-01,61.950001,65.230003,60.310001,65.070000,51.417618,178244000
2012-12-01,65.000000,65.919998,60.209999,61.849998,49.093361,143325700
2013-01-01,63.570000,68.150002,62.380001,66.919998,53.117672,127826000
2013-02-01,67.620003,69.190002,63.820000,68.500000,54.371780,143475800
2013-03-01,68.379997,71.449997,68.089996,69.779999,55.387798,128165200
2013-04-01,69.510002,74.589996,69.510002,73.349998,58.541607,155248500
2013-05-01,73.180000,81.559998,72.529999,78.660004,62.779598,158696200
2013-06-01,78.650002,79.680000,72.410004,77.470001,61.829815,177557000
2013-07-01,77.629997,81.230003,76.629997,79.029999,63.387501,125062100
2013-08-01,79.519997,80.500000,73.110001,74.489998,59.746098,169108600
2013-09-01,74.830002,78.809998,72.209999,75.849998,60.836914,147410900
2013-10-01,75.879997,78.599998,73.739998,77.889999,62.801960,164100100
2013-11-01,77.980003,82.269997,74.779999,80.669998,65.043427,138731300
2013-12-01,80.449997,82.470001,77.699997,82.339996,66.389915,128287300
2014-01-01,82.110001,82.570000,75.849998,76.849998,62.267834,137041800
2014-02-01,76.639999,83.099998,73.959999,82.029999,66.464928,147322300
2014-03-01,80.730003,83.199997,78.370003,79.129997,64.115219,129832500
2014-04-01,79.239998,81.150002,74.610001,79.510002,64.793671,161862300
2014-05-01,79.510002,80.269997,75.320000,80.230003,65.380394,120703800
2014-06-01,80.250000,81.470001,77.750000,80.959999,65.975288,129672100
2014-07-01,81.320000,82.349998,77.949997,80.849998,66.270927,127291500
2014-08-01,80.559998,93.519997,79.660004,93.500000,76.639854,148205800
2014-09-01,93.040001,93.750000,88.330002,91.739998,75.197235,153432100
2014-10-01,92.139999,99.260002,86.349998,97.519997,80.338829,145336900
2014-11-01,96.809998,99.800003,95.150002,99.400002,81.887596,103033400
2014-12-01,99.489998,106.019997,96.989998,104.970001,86.476265,118058000
2015-01-01,105.160004,107.739998,100.239998,104.419998,86.433990,109808700
2015-02-01,104.779999,117.919998,101.570000,114.750000,94.984680,110415700
2015-03-01,114.860001,117.989998,111.580002,113.610001,94.041054,104110600
2015-04-01,113.879997,116.250000,106.620003,106.980003,89.008713,95675500
2015-05-01,106.980003,116.480003,106.849998,111.419998,92.702850,100397400
2015-06-01,111.970001,113.709999,109.029999,111.129997,92.461548,104809700
2015-07-01,112.449997,118.129997,110.169998,117.029999,97.887627,97800100
